Diario,Fest_AnhoNuevo,Fest_Reyes,Fest_SatSemSantaLMX,Fest_JuevesSanto,Fest_ViernesSanto,Fest_Trabajo,Fest_VirgenAgosto,Fest_Hispanidad,Fest_TodosLosSantos,Fest_Constitucion,Fest_Inmaculada,Fest_Nochebuena,Fest_Navidad,Fest_Findeanho,Fest_ComMadrid,Fest_SanJuan,Fest_Santiago,Fest_DiaCatalunya,Fest_Merce,Fest_SanIsidro
y2000m03d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m03d17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
